[2021-04-30 18:35:39][INFO] P.sitchensis-lutzii, oaland, NORA10BC site 31, 0 km away
[2021-04-30 18:37:29][INFO] P.sitchensis-lutzii, oevre-manger, NORA10BC site 8, 0 km away
[2021-04-30 18:42:33][INFO] P.sitchensis-lutzii, olabergan, NORA10 site 69, 0 km away
[2021-04-30 18:45:28][INFO] P.sitchensis-lutzii, plogskjaeret, NORA10 site 70, 0 km away
[2021-04-30 18:49:06][INFO] P.sitchensis-lutzii, raavollmarka, eKlima station no. 86600, 3 km away
[2021-04-30 19:01:42][INFO] P.sitchensis-lutzii, roeynaasen, NORA10BC site 23, 0 km away
[2021-04-30 19:07:25][INFO] P.sitchensis-lutzii, sandmoan, NORA10 site 71, 0 km away
[2021-04-30 19:15:23][INFO] P.sitchensis-lutzii, sandve, NORA10BC site 46, 0 km away
[2021-04-30 19:16:57][INFO] P.sitchensis-lutzii, skorphella, NORA10BC site 43, 0 km away
[2021-04-30 19:18:38][INFO] P.sitchensis-lutzii, starebakkane, NORA10BC site 44, 0 km away
[2021-04-30 19:19:51][INFO] P.sitchensis-lutzii, steinaasen, NORA10 site 72, 0 km away
[2021-04-30 19:32:46][INFO] P.sitchensis-lutzii, svinnes, eKlima station no. 76530, 4 km away
[2021-04-30 19:37:19][INFO] P.sitchensis-lutzii, toegjefjellet, NORA10BC site 25, 0 km away
[2021-04-30 19:39:46][INFO] P.sitchensis-lutzii, valan, eKlima station no. 76530, 1 km away
[2021-04-30 19:45:42][INFO] P.sitchensis-lutzii, veggjaberget, NORA10BC site 45, 0 km away
[2021-04-30 19:48:43][INFO] P.sitchensis-lutzii, vikra, NORA10BC site 46, 0 km away
[2021-04-30 19:51:53][INFO] P.sitchensis-lutzii, voren, NORA10BC site 26, 0 km away
