species,hgtclass,pearson,spearman
Larix,2,0.9987682323861748,0.8881118881118882
Larix,NA,0.9987866439068991,0.8391608391608392
P.abies,2,0.46035906140165567,0.9020979020979022
P.abies,NA,0.4154752714839836,0.6789215686274511
P.sitchensis-lutzii,2,-0.05421905833465073,0.4590964590964591
P.sitchensis-lutzii,NA,0.27111488858358207,0.4055829228243021
